"Source:","D:\PIFLAB\Thực tập\Kicad\Weather Station\19-6-2023_WeatherStation_QuocThang_V1\19-6-2023_WeatherStation_QuocThang_V1.kicad_sch"
"Date:","23/06/2023 3:17:48 PM"
"Tool:","Eeschema 7.0.5"
"Generator:","D:\Kicad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","97"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","DIGIKEY","ELEMENT14","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PACKAGE","PARTREV","PRICE","STANDARD"
"38","2","R16, R17","22","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"39","10","R21, R23, R25, R26, R27, R28, R29, R30, R31, R32","4.7k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"40","2","R33, R34","0","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"41","1","R35","2.2k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"42","1","R37","6.8k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"43","3","SW1, SW2, SW3","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","","","","","","","","",""
"44","4","TP1, TP2, TP3, TP4","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~","","","","","","","","",""
"45","1","U1","MP1584EN-LF-Z","MP1584EN-LF-Z:MP1584EN-LF-Z","MP1584EN-LF-Z:SOIC127P600X170-9N","","","","","Monolithic Power Systems","","SOIC-8","","2.72 USD","IPC-7351B"
"46","1","U2","LM1117MP-3.3","Regulator_Linear:LM1117MP-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf","","","","","","","","",""
"47","1","U3","ESP32-WROOM-32E_(16MB)","ESP32-WROOM-32E__16MB_:ESP32-WROOM-32E_(16MB)","ESP32_WROOM_32E:XCVR_ESP32-WROOM-32E_(16MB)","","","","","Espressif Systems","3.25mm","","1.4","","Manufacturer Recommendations"
"48","1","U4","CH340C","CH340C:CH340C","CH340C:SOIC127P600X180-16N","","","","","WCH","1.8 mm","","2G","","IPC 7351B"
"49","1","U5","CAT24C32WI-GT3","CAT24C32WI-GT3:CAT24C32WI-GT3","CAT24C32WI-GT3:CAT24C32WI-GT3","","","","","ON Semiconductor","","","","",""
"50","1","U6","DS3231SN#","DS3231SN_:DS3231SN#","DS3231SN:DS3231SN","","","","","Maxim Intergrated","","","","",""
"51","1","Y1","Crystal","Device:Crystal","Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal","~","","","","","","","","",""
